Feature,Coefficient,Odds_Ratio
SiteName_Drop #1,-0.12893996689353898,0.8790267346671645
Location_Staging,-0.13218262644363618,0.8761809666531853
SiteName_By K15,-0.13680201484531718,0.8721428803831344
SiteName_By K72/73,-0.14516837179256634,0.864876660017237
Frequency_Quarterly,-0.14617336286385177,0.8640079033156415
SiteName_By K09,-0.14650988593458253,0.8637171936408817
SiteName_By Aux03,-0.14773302934133517,0.8626613894817596
SiteName_Drop #7,-0.15298899407551203,0.8581391663742859
SiteName_By K03,-0.15881405097100507,0.8531549875617773
Frequency_Monthly,-0.16371337047394563,0.8489853312718427
Location_Center of Refrigerator,-0.1649533265909083,0.8479332791011762
SiteName_Melville Refrigerator,-0.1649533265909083,0.8479332791011762
SiteName_By K27,-0.17370286969532875,0.8405466124287226
AreaName_1st Floor Hallway,-0.1742841385125983,0.8400581708651339
Location_Air Nozzle,-0.17477390920088973,0.8396468357347519
SiteName_By K55,-0.17575663715104572,0.8388220966344726
SiteName_Drop #2,-0.17604433587477586,0.8385808032993908
SiteName_By K54,-0.1778277792792832,0.8370865747286987
Location_Filler Hopper,-0.17793051752590885,0.8370005783393719
SiteName_Drop #30,-0.1782199396395472,0.8367583669152344
SiteName_By K18,-0.18325065794114215,0.8325594419447027
SiteName_Drop #4,-0.1840323582266842,0.8319088842948813
SiteName_By K48/49,-0.18431994648640163,0.8316696714656528
SiteName_By K50,-0.1864717798062845,0.8298819810511648
SiteName_By K53,-0.18667951020434947,0.8297096072411541
SiteName_R26,-0.18796123931293593,0.828646825530504
SiteName_By K30,-0.18936041470637943,0.8274882140217404
SiteName_By K5A/5B,-0.191474177066129,0.8257409478850651
SiteName_By K17,-0.19270507474971307,0.824725170552307
SiteName_By K02,-0.19528023780127943,0.8226041009875401
SiteName_By K12,-0.19564228306480283,0.8223063349746624
DepartmentName_Compressed Air Upstairs,-0.19586654493112282,0.822121943698033
SiteName_By K10,-0.19659898581019247,0.8215200084467906
SiteName_R25 & 23,-0.19992889151255802,0.8187889738534265
SiteName_By K13,-0.20053096588310007,0.8182961503704682
SiteName_By K52,-0.2036447116276939,0.8157521469597617
SiteName_Air Compressor Tanks,-0.20410547640156448,0.8153763636867292
SiteName_By K24,-0.20474362207808075,0.8148562007730183
SiteName_By K70/71,-0.20574342750033936,0.8140419102589912
SiteName_By K46/47,-0.2080117067970955,0.8121975284246166
SiteName_Drop #26,-0.20853953561159205,0.8117689402865861
SiteName_By K77,-0.2105680979648856,0.8101238854869911
SiteName_By K25,-0.21080384299498636,0.8099329253170615
SiteName_By K47,-0.2121039202713332,0.8088806341036543
SiteName_By K11,-0.21372613511984434,0.8075695196705144
SiteName_Pre-Weigh Station,-0.2138190558777213,0.8074944831849858
Location_Pre-Weigh Station,-0.2138190558777213,0.8074944831849858
AreaName_Melville Misc. Warehouse,-0.2140698938208719,0.807291958331239
SiteName_UltraFiltration Station,-0.21537130993639123,0.8062420189189621
Location_UltraFiltration Station,-0.21537130993639123,0.8062420189189621
SiteName_Alvey Washer Area,-0.2162951488934172,0.805497525082249
Location_Alvey Washer Area,-0.2162951488934172,0.805497525082249
SiteName_By K76,-0.21731343575671005,0.8046777150057975
SiteName_By Aux01,-0.2176300127033384,0.8044230129102942
SiteName_By K14,-0.21809961802320296,0.8040453402694913
SiteName_Between D25 & D26,-0.21854003772823688,0.8036913008265921
SiteName_By K04,-0.2210998418788026,0.8016366393863513
Location_XP Filling Room,-0.2215529807960794,0.8012734689170813
Zone_Clean,-0.222704625395367,0.8003512178087352
SiteName_By K28,-0.23447167958941323,0.790988634697081
SiteName_R34,-0.24001781000067254,0.7866138513485756
Zone_General,-0.24653524271386923,0.7815038187361946
Frequency_Semi/Annual,-0.2478156652487959,0.7805038039928852
SiteName_By K4A,-0.2544941372398037,0.7753085985258367
AreaName_ASR Receiving Lanes,-0.2580706661021302,0.7725406377423588
AreaName_350 Warehouse,-0.27234239664824333,0.7615934493974632
Location_Floor Level,-0.27234239664824333,0.7615934493974632
SiteName_Culture Bench 3,-0.2779565146110533,0.7573297535771938
AreaName_WC 2 - West,-0.28215293872646363,0.7541583356972483
SiteName_By K49,-0.28238711005259026,0.753981754115647
SiteName_Drop #25,-0.29180381239516184,0.7469150570761404
SiteName_Drop #28,-0.29180381239516184,0.7469150570761404
SiteName_By Aux08,-0.30402557790435386,0.7378419937572857
SiteName_By K2B,-0.30413752885700984,0.7377593962666951
SiteName_Drop #27,-0.30423097614719596,0.7376904578714079
SiteName_By K46,-0.3058642305011545,0.736486605085726
AreaName_WC 1 - Mega Creams,-0.309045631461224,0.7341472690492796
SiteName_By K72,-0.30914511434805325,0.7340742375923471
Year_2025,-0.30977616320161794,0.7336111470180389
SiteName_R25,-0.3099668976344064,0.7334712354554255
SiteName_By K40/41,-0.3117672644107747,0.7321519062063274
SiteName_By K42/43,-0.31453075236232864,0.7301314063342024
AreaName_AGI Main,-0.31951615557889995,0.7265004652455904
