Mid,DepartmentName,AreaName,SiteName,Location,Alert,Action,SampleDate,CFU,Zone,Frequency,Action/Alert Count,Air_AirUnits.AirType,Year,Month,MonthName,DayOfYear,Season
48259,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-01,3.0,Clean,Monthly,,(CFU/160L),2024,2,February,32,Winter
48261,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-21,3.0,Clean,Monthly,,(CFU/160L),2024,2,February,52,Winter
48262,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-22,3.0,Clean,Monthly,,(CFU/160L),2024,2,February,53,Winter
48264,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-20,3.0,Clean,Monthly,,(CFU/160L),2024,3,March,80,Spring
48265,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-20,3.0,Clean,Monthly,,(CFU/160L),2024,3,March,80,Spring
48270,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-21,3.0,Clean,Monthly,,(CFU/160L),2024,3,March,81,Spring
48275,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-22,3.0,Clean,Monthly,,(CFU/160L),2024,3,March,82,Spring
48279,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-10,3.0,Clean,Monthly,,(CFU/160L),2024,4,April,101,Spring
48280,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-10,3.0,Clean,Monthly,,(CFU/160L),2024,4,April,101,Spring
48281,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-10,3.0,Clean,Monthly,,(CFU/160L),2024,4,April,101,Spring
48284,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-11,3.0,Clean,Monthly,,(CFU/160L),2024,4,April,102,Spring
48287,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-11,3.0,Clean,Monthly,,(CFU/160L),2024,5,May,132,Spring
48289,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-13,3.0,Clean,Monthly,,(CFU/160L),2024,5,May,134,Spring
48375,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-16,4.0,Clean,Monthly,,(CFU/160L),2023,8,August,228,Summer
48376,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-16,4.0,Clean,Monthly,,(CFU/160L),2023,8,August,228,Summer
48414,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-15,3.0,Clean,Monthly,,(CFU/160L),2024,5,May,136,Spring
48415,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-15,3.0,Clean,Monthly,,(CFU/160L),2024,5,May,136,Spring
48417,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-16,3.0,Clean,Monthly,,(CFU/160L),2024,5,May,137,Spring
48418,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-16,3.0,Clean,Monthly,,(CFU/160L),2024,5,May,137,Spring
48419,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-16,3.0,Clean,Monthly,,(CFU/160L),2024,5,May,137,Spring
48420,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-16,3.0,Clean,Monthly,,(CFU/160L),2024,5,May,137,Spring
48424,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-06-10,3.0,Clean,Monthly,,(CFU/160L),2024,6,June,162,Summer
48430,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-07-14,3.0,Clean,Monthly,,(CFU/160L),2024,7,July,196,Summer
48431,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-20,3.0,Clean,Monthly,,(CFU/160L),2024,8,August,233,Summer
48433,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-21,3.0,Clean,Monthly,,(CFU/160L),2024,8,August,234,Summer
48437,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-23,3.0,Clean,Monthly,,(CFU/160L),2024,8,August,236,Summer
48441,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-01,3.0,Clean,Monthly,,(CFU/160L),2024,10,October,275,Fall
48443,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-02,3.0,Clean,Monthly,,(CFU/160L),2024,10,October,276,Fall
48446,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-11-01,3.0,Clean,Monthly,,(CFU/160L),2024,11,November,306,Fall
48448,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-11-04,3.0,Clean,Monthly,,(CFU/160L),2024,11,November,309,Fall
48449,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-11-04,3.0,Clean,Monthly,,(CFU/160L),2024,11,November,309,Fall
48473,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-16,6.0,Clean,Monthly,,(CFU/160L),2023,8,August,228,Summer
48474,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-16,6.0,Clean,Monthly,,(CFU/160L),2023,8,August,228,Summer
48793,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-16,15.0,Clean,Monthly,,(CFU/160L),2023,8,August,228,Summer
48892,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2023-08-16,23.0,Clean,Monthly,,(CFU/160L),2023,8,August,228,Summer
48898,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-01-29,4.0,Clean,Monthly,,(CFU/160L),2024,1,January,29,Winter
48899,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-01-30,4.0,Clean,Monthly,,(CFU/160L),2024,1,January,30,Winter
48906,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-21,4.0,Clean,Monthly,,(CFU/160L),2024,2,February,52,Winter
48910,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-22,4.0,Clean,Monthly,,(CFU/160L),2024,2,February,53,Winter
48911,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-22,4.0,Clean,Monthly,,(CFU/160L),2024,2,February,53,Winter
48915,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-21,4.0,Clean,Monthly,,(CFU/160L),2024,3,March,81,Spring
48917,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-22,4.0,Clean,Monthly,,(CFU/160L),2024,3,March,82,Spring
48919,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-11,4.0,Clean,Monthly,,(CFU/160L),2024,4,April,102,Spring
48920,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-22,4.0,Clean,Monthly,,(CFU/160L),2024,4,April,113,Spring
48924,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-13,4.0,Clean,Monthly,,(CFU/160L),2024,5,May,134,Spring
48927,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-14,4.0,Clean,Monthly,,(CFU/160L),2024,5,May,135,Spring
48928,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-14,4.0,Clean,Monthly,,(CFU/160L),2024,5,May,135,Spring
49012,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-05-15,4.0,Clean,Monthly,,(CFU/160L),2024,5,May,136,Spring
49016,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-06-10,4.0,Clean,Monthly,,(CFU/160L),2024,6,June,162,Summer
49020,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-07-12,4.0,Clean,Monthly,,(CFU/160L),2024,7,July,194,Summer
49021,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-07-14,4.0,Clean,Monthly,,(CFU/160L),2024,7,July,196,Summer
49025,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-19,4.0,Clean,Monthly,,(CFU/160L),2024,8,August,232,Summer
49026,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-20,4.0,Clean,Monthly,,(CFU/160L),2024,8,August,233,Summer
49028,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-21,4.0,Clean,Monthly,,(CFU/160L),2024,8,August,234,Summer
49029,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-22,4.0,Clean,Monthly,,(CFU/160L),2024,8,August,235,Summer
49031,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-23,4.0,Clean,Monthly,,(CFU/160L),2024,8,August,236,Summer
49033,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-08-30,4.0,Clean,Monthly,,(CFU/160L),2024,8,August,243,Summer
49039,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-10-31,4.0,Clean,Monthly,,(CFU/160L),2024,10,October,305,Fall
49042,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-11-04,4.0,Clean,Monthly,,(CFU/160L),2024,11,November,309,Fall
49394,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-01-29,5.0,Clean,Monthly,,(CFU/160L),2024,1,January,29,Winter
49398,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-02-02,5.0,Clean,Monthly,,(CFU/160L),2024,2,February,33,Winter
49400,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-20,5.0,Clean,Monthly,,(CFU/160L),2024,3,March,80,Spring
49402,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-03-21,5.0,Clean,Monthly,,(CFU/160L),2024,3,March,81,Spring
49408,Filling and Assembly,WC 5 - East,R30,Staging,30.0,40.0,2024-04-11,5.0,Clean,Monthly,,(CFU/160L),2024,4,April,102,Spring
